entidad_federativa,mes,accidentes,danios_materiales_millones,heridos,muertos
Guanajuato,diciembre,75.0,8.5621,83.0,22.0
Guerrero,enero,25.0,2.853,22.0,7.0
Guerrero,febrero,27.0,1.446,13.0,8.0
Guerrero,marzo,34.0,1.476,28.0,7.0
Guerrero,abril,41.0,6.174,55.0,45.0
Guerrero,mayo,46.0,2.6765,47.0,7.0
Guerrero,junio,25.0,1.257,14.0,6.0
Guerrero,julio,35.0,2.2372,27.0,3.0
Guerrero,agosto,40.0,2.5305,23.0,10.0
Guerrero,septiembre,31.0,4.251,20.0,9.0
Guerrero,octubre,20.0,2.229,26.0,7.0
Guerrero,noviembre,29.0,1.446,13.0,7.0
Guerrero,diciembre,40.0,3.076,24.0,15.0
Hidalgo,enero,5.0,0.305,3.0,0.0
Hidalgo,febrero,19.0,1.7255,8.0,7.0
Hidalgo,marzo,23.0,2.506,13.0,5.0
Hidalgo,abril,23.0,2.306,16.0,8.0
Hidalgo,mayo,17.0,1.14,16.0,7.0
Hidalgo,junio,10.0,0.65,7.0,5.0
Hidalgo,julio,12.0,0.717,9.0,2.0
Hidalgo,agosto,24.0,2.574,12.0,4.0
Hidalgo,septiembre,27.0,1.5865,18.0,6.0
Hidalgo,octubre,43.0,3.126,19.0,3.0
Hidalgo,noviembre,21.0,3.36,8.0,5.0
Hidalgo,diciembre,44.0,2.289,15.0,6.0
Jalisco,enero,45.0,3.1385,47.0,10.0
Jalisco,febrero,39.0,4.5885,35.0,26.0
Jalisco,marzo,45.0,6.4155,26.0,21.0
Jalisco,abril,39.0,2.8935,10.0,25.0
Jalisco,mayo,49.0,6.417,37.0,15.0
Jalisco,junio,45.0,3.986,20.0,21.0
Jalisco,julio,35.0,3.941,12.0,5.0
Jalisco,agosto,38.0,2.689,22.0,11.0
Jalisco,septiembre,35.0,2.183,23.0,8.0
Jalisco,octubre,36.0,2.244,17.0,11.0
Jalisco,noviembre,31.0,3.3135,26.0,8.0
Jalisco,diciembre,47.0,3.61,38.0,23.0
Michoacan,enero,38.0,7.5305,12.0,10.0
Michoacan,febrero,29.0,2.2785,22.0,11.0
Michoacan,marzo,40.0,5.317,20.0,17.0
Michoacan,abril,35.0,3.1907,17.0,16.0
Michoacan,mayo,39.0,2.241,32.0,2.0
Michoacan,junio,39.0,2.926,17.0,10.0
Michoacan,julio,41.0,4.1125,21.0,10.0
Michoacan,agosto,45.0,4.0818,36.0,10.0
Michoacan,septiembre,32.0,2.626,11.0,9.0
Michoacan,octubre,39.0,2.999,28.0,9.0
Michoacan,noviembre,58.0,5.286,28.0,14.0
Michoacan,diciembre,34.0,2.907,11.0,12.0
Morelos,enero,13.0,1.96,5.0,0.0
Morelos,febrero,20.0,1.596,22.0,1.0
Morelos,marzo,16.0,1.1275,32.0,3.0
Morelos,abril,16.0,1.544,14.0,4.0
Morelos,mayo,19.0,2.4825,3.0,3.0
Morelos,junio,18.0,0.857,6.0,6.0
Morelos,julio,14.0,0.762,6.0,1.0
Morelos,agosto,20.0,1.7818,5.0,0.0
Morelos,septiembre,16.0,0.637,8.0,2.0
Morelos,octubre,18.0,1.707,6.0,0.0
Morelos,noviembre,22.0,1.261,3.0,3.0
Morelos,diciembre,9.0,2.705,8.0,0.0
Nayarit,enero,18.0,1.02,18.0,12.0
